mou_id,sector,district,announced_investment_inr,realisation_pct,realised_investment_inr,jobs_promised,jobs_verified,days_to_realisation
MOU-0001,Electronics,Ariyalur,50000000,18,9000000,100,28,120
MOU-0002,Automotive,Coimbatore,50007919,29,14502297,237,83,167
MOU-0003,Renewables,Dindigul,50015838,40,20006335,374,157,214
MOU-0004,Textiles,Kancheepuram,50023757,51,25512116,511,250,261
MOU-0005,Logistics,Madurai,50031676,62,31019639,648,363,308
MOU-0006,IT/ITES,Namakkal,50039595,73,36528904,785,495,355
MOU-0007,Food Processing,Pudukkottai,50047514,84,42039912,922,645,402
MOU-0008,Pharma,Salem,50055433,95,47552661,1059,815,449
MOU-0009,Electronics,Thanjavur,50063352,27,13517105,1196,1005,496
MOU-0010,Automotive,Tiruchirappalli,50071271,38,19027083,1333,373,543
MOU-0011,Renewables,Tiruppur,50079190,49,24538803,1470,514,590
MOU-0012,Textiles,Vellore,50087109,60,30052265,1607,675,637
MOU-0013,Logistics,Kanyakumari,50095028,71,35567470,1744,855,684
MOU-0014,IT/ITES,Chengalpattu,50102947,82,41084417,1881,1053,731
MOU-0015,Food Processing,Cuddalore,50110866,93,46603105,2018,1271,778
MOU-0016,Pharma,Erode,50118785,25,12529696,2155,1508,825
MOU-0017,Electronics,Karur,50126704,36,18045613,2292,1765,872
MOU-0018,Automotive,Mayiladuthurai,50134623,47,23563273,2429,2040,919
MOU-0019,Renewables,Nilgiris,50142542,58,29082674,2566,718,966
MOU-0020,Textiles,Ramanathapuram,50150461,69,34603818,2703,946,133
MOU-0021,Logistics,Sivaganga,50158380,80,40126704,2840,1193,180
MOU-0022,IT/ITES,Theni,50166299,91,45651332,2977,1459,227
MOU-0023,Food Processing,Tirunelveli,50174218,23,11540070,3114,1744,274
MOU-0024,Pharma,Tiruvallur,50182137,34,17061927,3251,2048,321
MOU-0025,Electronics,Viluppuram,50190056,45,22585525,3388,2372,368
MOU-0026,Automotive,Tiruvannamalai,50197975,56,28110866,3525,2714,415
MOU-0027,Renewables,Chennai,50205894,67,33637949,3662,3076,462
MOU-0028,Textiles,Dharmapuri,50213813,78,39166774,3799,1064,509
MOU-0029,Logistics,Kallakurichi,50221732,89,44697341,3936,1378,556
MOU-0030,IT/ITES,Krishnagiri,50229651,21,10548227,4073,1711,603
MOU-0031,Food Processing,Nagapattinam,50237570,32,16076022,4210,2063,650
MOU-0032,Pharma,Perambalur,50245489,43,21605560,4347,2434,697
MOU-0033,Electronics,Ranipet,50253408,54,27136840,4484,2825,744
MOU-0034,Automotive,Tenkasi,50261327,65,32669863,4621,3235,791
MOU-0035,Renewables,Thoothukudi,50269246,76,38204627,4758,3664,838
MOU-0036,Textiles,Tirupathur,50277165,87,43741134,4895,4112,885
MOU-0037,Logistics,Tiruvarur,50285084,19,9554166,132,37,932
MOU-0038,IT/ITES,Virudhunagar,50293003,30,15087901,269,94,979
MOU-0039,Food Processing,Ariyalur,50300922,41,20623378,406,171,146
MOU-0040,Pharma,Coimbatore,50308841,52,26160597,543,266,193
MOU-0041,Electronics,Dindigul,50316760,63,31699559,680,381,240
MOU-0042,Automotive,Kancheepuram,50324679,74,37240262,817,515,287
MOU-0043,Renewables,Madurai,50332598,85,42782708,954,668,334
MOU-0044,Textiles,Namakkal,50340517,96,48326896,1091,840,381
MOU-0045,Logistics,Pudukkottai,50348436,28,14097562,1228,1032,428
MOU-0046,IT/ITES,Salem,50356355,39,19638978,1365,382,475
MOU-0047,Food Processing,Thanjavur,50364274,50,25182137,1502,526,522
MOU-0048,Pharma,Tiruchirappalli,50372193,61,30727038,1639,688,569
MOU-0049,Electronics,Tiruppur,50380112,72,36273681,1776,870,616
MOU-0050,Automotive,Vellore,50388031,83,41822066,1913,1071,663
MOU-0051,Renewables,Kanyakumari,50395950,94,47372193,2050,1292,710
MOU-0052,Textiles,Chengalpattu,50403869,26,13105006,2187,1531,757
MOU-0053,Logistics,Cuddalore,50411788,37,18652362,2324,1789,804
MOU-0054,IT/ITES,Erode,50419707,48,24201459,2461,2067,851
MOU-0055,Food Processing,Karur,50427626,59,29752299,2598,727,898
MOU-0056,Pharma,Mayiladuthurai,50435545,70,35304882,2735,957,945
MOU-0057,Electronics,Nilgiris,50443464,81,40859206,2872,1206,992
MOU-0058,Automotive,Ramanathapuram,50451383,92,46415272,3009,1474,159
MOU-0059,Renewables,Sivaganga,50459302,24,12110232,3146,1762,206
MOU-0060,Textiles,Theni,50467221,35,17663527,3283,2068,253
